,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
3747,AT5G40730,AGP24,42,1.1,16,0.41,58,2.33,69,3.42,1.93,0.000136053,0.000319395,2.33,3.42,2.33,3.42
7886,AT5G18690,AGP25,110,2.02,102,1.81,5,0.14,1,0.03,-4.38,4.25E-09,1.50E-08,0.14,0.03,0.193881296,0.041545992
8614,AT1G28290,AGP31,297,3.56,293,3.39,1,0.02,2,0.05,-6.83,6.43E-15,3.05E-14,0.02,0.05,0.02,0.05
8707,AT5G10430,AGP4,148,2.7,152,2.68,0,0,1,0.03,-7.44,3.24E-07,9.97E-07,0,0.03,0,0.03
5090,AT5G24105,AGP41,99,2.4,119,2.79,132,4.89,125,5.72,1.03,0.000309528,0.000694944,4.89,5.72,4.89,5.72
4910,AT1G35230,AGP5,105,2.45,143,3.23,156,5.58,152,6.7,1.11,5.04E-05,0.000124609,5.58,6.7,5.58,6.7
5882,AT5G65390,AGP7,243,4.46,280,4.97,70,1.97,51,1.77,-1.33,1.98E-06,5.67E-06,1.97,1.77,1.97,1.77
7060,AT2G14890,AGP9,1540,15.66,1737,17.09,155,2.41,168,3.23,-2.55,9.77E-62,1.22E-60,2.41,3.23,2.41,3.23
2145,AT2G38400,AGT3,438,3.8,439,3.68,5285,70.15,4541,74.35,4.27,0,0,70.15,74.35,95.88764387,101.6286005
4876,AT4G01800,AGY1,12748,61.3,13281,61.82,18384,135.4,14649,133.09,1.12,7.53E-90,1.24E-88,135.4,133.09,135.4,133.09
3779,AT1G17260,AHA10,75,0.47,89,0.54,202,1.93,155,1.83,1.9,1.53E-12,6.51E-12,1.93,1.83,1.93,1.83
8395,AT5G57350,AHA3,11641,57.32,12806,61.03,110,0.83,122,1.13,-5.93,0,0,5.06557703,6.896508486,0.83,1.13
6222,AT2G24520,AHA5,895,4.67,919,4.65,206,1.65,153,1.51,-1.56,3.41E-22,2.09E-21,1.65,1.51,1.65,1.51
2695,AT3G60330,AHA7,22,0.11,17,0.08,136,1.07,87,0.85,3.28,1.02E-15,5.02E-15,1.07,0.85,1.07,0.85
5379,AT3G42640,AHA8,632,3.38,664,3.44,173,1.42,179,1.81,-1.09,3.21E-09,1.14E-08,1.42,1.81,1.42,1.81
149,AT1G80660,AHA9,3,0.02,1,0,829,6.43,591,5.65,9.25,4.40E-36,3.77E-35,6.43,5.65,6.43,5.65
4158,AT2G16060,AHB1,19,0.34,19,0.33,27,0.74,37,1.25,1.57,0.009480618,0.016932302,0.74,1.25,0.74,1.25
5440,AT2G17820,AHK1,3126,12.67,3324,13.04,951,5.9,787,6.03,-1.11,3.07E-34,2.53E-33,8.333546655,8.517167174,5.9,6.03
5477,AT2G01830,AHK4,1235,4.79,1403,5.27,389,2.31,316,2.31,-1.12,1.30E-17,6.87E-17,2.31,2.31,2.31,2.31
886,AT5G10720,AHK5,0,0,0,0,12,0.1,8,0.08,6.53,0.000447113,0.000981501,0.1,0.08,0.1,0.08
5239,AT2G33620,AHL10,932,7.93,981,8.08,300,3.91,247,3.97,-1.02,1.70E-12,7.23E-12,3.91,3.97,3.91,3.97
5292,AT3G61310,AHL11,924,3.31,1037,3.59,308,1.69,243,1.64,-1.05,7.06E-13,3.06E-12,1.69,1.64,1.69,1.64
4039,AT3G55560,AHL15,593,5.66,603,5.57,1224,17.9,987,17.8,1.67,1.26E-48,1.32E-47,17.9,17.8,17.9,17.8
403,AT3G60870,AHL18,0,0,0,0,29,0.55,19,0.44,7.8,1.71E-06,4.94E-06,0.55,0.44,0.55,0.44
1559,AT4G22770,AHL2,23,0.25,22,0.23,621,10.32,498,10.21,5.42,4.61E-91,7.66E-90,10.32,10.21,10.32,10.21
5582,AT4G25320,AHL3,367,3.48,484,4.44,136,1.97,86,1.54,-1.17,6.04E-07,1.82E-06,1.97,1.54,1.97,1.54
7249,AT5G51590,AHL4,37,0.31,28,0.23,2,0.03,3,0.05,-2.9,0.003569725,0.006857406,0.03,0.05,0.03,0.05
6622,AT4G00200,AHL7,109,0.98,83,0.72,14,0.19,14,0.24,-1.99,9.36E-05,0.000224419,0.19,0.24,0.19,0.24
8697,AT3G21510,AHP1,252,3.11,324,3.87,2,0.04,0,0,-7.39,3.46E-12,1.45E-11,0.090944769,0,0.04,0
6664,AT5G39340,AHP3,900,12.09,897,11.66,129,2.65,125,3.17,-2.03,4.36E-31,3.35E-30,2.65,3.17,2.65,3.17
7657,AT3G16360,AHP4,164,3.1,163,2.98,5,0.14,9,0.32,-3.75,1.11E-12,4.75E-12,0.14,0.32,0.14,0.32
3820,AT2G46510,AIB,1433,10.5,1413,10.02,3268,36.68,2726,37.74,1.86,8.20E-113,1.61E-111,36.68,37.74,36.68,37.74
4371,AT1G33960,AIG1,47,0.47,57,0.55,90,1.38,71,1.35,1.41,0.000146955,0.00034344,1.38,1.35,1.38,1.35
6045,AT3G28940,AIG2B,6009,79.67,5507,70.67,1333,27.07,1147,28.73,-1.43,4.14E-60,5.07E-59,27.07,28.73,27.07,28.73
6641,AT3G28950,AIG2C,590,11.55,574,10.88,86,2.58,81,3,-2.01,2.07E-21,1.24E-20,2.58,3,2.58,3
7724,AT5G57390,AIL5,23,0.16,30,0.21,1,0.01,1,0.01,-3.94,0.003243671,0.006279367,0.01,0.01,0.01,0.01
7908,AT5G10510,AIL6,32,0.18,44,0.24,1,0.01,1,0.01,-4.46,0.000397045,0.000878031,0.01,0.01,0.01,0.01
1866,AT5G65510,AIL7,5,0.05,3,0.03,77,1.08,63,1.09,4.91,1.57E-13,6.99E-13,1.08,1.09,1.08,1.09
1910,AT3G07390,AIR12,1907,28.29,2208,31.7,35166,798.89,30967,867.76,4.8,0,0,798.89,867.76,798.89,867.76
7750,AT2G04160,AIR3,2077,13.99,2301,15,93,0.96,67,0.85,-3.99,9.84E-138,2.20E-136,0.96,0.85,0.96,0.85
6778,AT2G34680,AIR9,4189,12.28,4636,13.16,672,3.02,488,2.7,-2.15,7.16E-110,1.37E-108,3.02,2.7,3.02,2.7
4526,AT4G23450,AIRP1,83,0.9,67,0.71,126,2.1,93,1.92,1.32,4.24E-05,0.000105847,2.1,1.92,2.1,1.92
6441,AT5G01520,AIRP2,826,11.06,871,11.29,159,3.26,132,3.34,-1.76,2.98E-25,1.99E-24,3.26,3.34,3.26,3.34
8041,AT3G02020,AK3,9193,31.94,9834,33.07,224,1.19,162,1.06,-4.84,0,0,1.19,1.06,1.19,1.06
6910,AT2G37770,AKR4C9,193,2.31,194,2.24,27,0.49,18,0.41,-2.33,5.09E-10,1.91E-09,0.49,0.41,0.49,0.41
7705,AT2G26650,AKT1,212,1.18,229,1.23,5,0.04,12,0.13,-3.89,2.26E-16,1.14E-15,0.04,0.13,0.04,0.13
1324,AT4G32500,AKT5,0,0,0,0,10,0.09,2,0.02,5.73,0.008253352,0.014890362,0.09,0.02,0.09,0.02
758,AT2G25600,AKT6,0,0,0,0,16,0.13,9,0.09,6.85,0.000131227,0.000308551,0.13,0.09,0.13,0.09
2782,AT5G04930,ALA1,2857,10.88,2933,10.81,16482,96.12,13090,94.16,3.13,0,0,96.12,94.16,96.12,94.16
2142,AT3G25610,ALA10,893,3.91,859,3.64,11115,74.51,8678,71.76,4.28,0,0,74.51,71.76,74.51,71.76
1905,AT1G13210,ALA11,766,3.24,784,3.21,14186,91.9,11062,88.4,4.81,0,0,91.9,88.4,91.9,88.4
2876,AT1G59820,ALA3,1271,5.24,1265,5.05,6425,40.61,5268,41.07,2.99,0,0,40.61,41.07,40.61,41.07
1736,AT1G54280,ALA6,3,0.01,1,0,54,0.32,33,0.24,5.2,1.07E-08,3.68E-08,0.32,0.24,0.32,0.24
2416,AT1G17290,ALAAT1,5046,37.64,5586,40.33,48198,550.7,36553,515.16,3.77,0,0,550.7,515.16,550.7,515.16
4811,AT1G72330,ALAAT2,164,1.36,189,1.52,265,3.38,194,3.05,1.16,1.53E-07,4.82E-07,3.38,3.05,3.38,3.05
2127,AT2G13810,ALD1,3,0.03,0,0,20,0.35,15,0.32,4.31,0.000348396,0.000776689,0.35,0.32,0.35,0.32
8500,AT4G36250,ALDH3F1,1731,15.16,1811,15.35,10,0.13,16,0.26,-6.3,8.49E-93,1.43E-91,0.13,0.26,0.13,0.26
2872,AT4G34240,ALDH3I1,2396,16.02,2513,16.26,12913,132.2,9873,124.68,2.99,0,0,132.2,124.68,132.2,124.68
7282,AT2G20300,ALE2,625,3.35,708,3.67,37,0.3,60,0.61,-2.97,1.55E-31,1.21E-30,0.3,0.61,0.3,0.61
6153,AT5G02410,ALG10,323,2.75,312,2.58,70,0.91,59,0.95,-1.52,5.75E-09,2.01E-08,0.91,0.95,0.91,0.95
3333,AT3G12740,ALIS1,3181,33.25,3273,33.12,10906,174.61,8883,175.43,2.4,0,0,174.61,175.43,174.61,175.43
1815,AT1G79450,ALIS5,25,0.26,32,0.33,585,9.48,493,9.86,5.03,2.51E-89,4.11E-88,9.48,9.86,9.48,9.86
7292,AT4G02940,ALKBH10B,2895,21.45,3116,22.35,251,2.85,186,2.6,-3,6.51E-142,1.50E-140,5.647561884,5.152161719,2.85,2.6
5475,AT2G17970,ALKBH9B,476,3.53,535,3.84,169,1.92,104,1.46,-1.12,7.40E-08,2.39E-07,1.92,1.46,1.92,1.46
904,AT1G08430,ALMT1,0,0,1,0.01,27,0.37,25,0.43,6.49,5.06E-05,0.000124996,0.37,0.43,0.37,0.43
8831,AT4G17970,ALMT12,310,2.62,344,2.81,0,0,0,0,-10,9.07E-12,3.73E-11,0,0,0,0
7469,AT5G46600,ALMT13,54,0.5,65,0.58,6,0.08,1,0.02,-3.34,3.97E-05,9.95E-05,0.08,0.02,0.08,0.02
1378,AT1G08440,ALMT2,0,0,0,0,7,0.11,4,0.07,5.66,0.008592273,0.015448523,0.11,0.07,0.11,0.07
8065,AT1G25480,ALMT4,312,2.72,308,2.6,7,0.09,5,0.08,-4.91,2.67E-23,1.69E-22,0.09,0.08,0.09,0.08
5328,AT4G04955,ALN,465,4.31,552,4.95,159,2.26,124,2.17,-1.06,9.04E-08,2.90E-07,2.26,2.17,2.26,2.17
6528,AT1G73680,ALPHA DOX2,2085,13.89,2190,14.12,358,3.65,323,4.07,-1.86,1.55E-56,1.81E-55,3.65,4.07,4.994357884,5.569051119
4273,AT5G22770,ALPHA-ADR,2270,10.01,2373,10.13,4197,28.35,3333,27.77,1.48,8.06E-89,1.32E-87,28.35,27.77,28.35,27.77
3594,AT5G22780,ALPHAC-AD,2480,10.93,2646,11.29,7092,47.89,5539,46.13,2.08,6.48E-200,1.94E-198,47.89,46.13,47.89,46.13
7341,AT2G37330,ALS3,500,9.9,588,11.27,32,0.97,41,1.53,-3.1,4.84E-31,3.71E-30,1.267474247,1.999211957,0.97,1.53
2221,AT5G27610,ALY1,104,0.54,130,0.65,1327,10.5,1046,10.21,4.12,5.74E-166,1.46E-164,10.5,10.21,10.5,10.21
5095,AT3G05380,ALY2,685,3.13,749,3.31,959,6.71,743,6.41,1.03,1.31E-17,6.94E-17,6.71,6.41,6.71,6.41
3735,AT1G66260,ALY3,3914,48.59,4115,49.44,9559,181.75,8339,195.58,1.94,2.64E-186,7.37E-185,181.75,195.58,181.75,195.58
4147,AT1G02170,AMC1,954,11.66,957,11.32,1895,35.48,1432,33.08,1.58,4.86E-57,5.72E-56,35.48,33.08,35.48,33.08
8114,AT5G64240,AMC3,3480,37.94,3840,40.53,74,1.24,56,1.15,-5.03,9.55E-223,3.12E-221,7.796290956,7.230431128,1.24,1.15
4195,AT1G79340,AMC4,3558,35.28,3652,35.05,6496,98.66,5641,105.68,1.54,6.80E-109,1.29E-107,98.66,105.68,98.66,105.68
1513,AT1G79310,AMC7,6,0.06,1,0.01,96,1.56,84,1.68,5.47,3.66E-16,1.83E-15,1.56,1.68,1.56,1.68
1932,AT1G16420,AMC8,40,0.48,39,0.45,663,12.08,577,12.97,4.76,1.47E-101,2.68E-100,12.08,12.97,12.08,12.97
7365,AT5G04200,AMC9,90,1.23,107,1.41,8,0.17,5,0.13,-3.14,1.53E-07,4.81E-07,0.17,0.13,0.17,0.13
4407,AT4G16144,AMSH3,502,4.17,549,4.41,930,11.83,671,10.53,1.38,9.50E-26,6.44E-25,11.83,10.53,11.83,10.53
4639,AT4G13510,AMT1-1,2793,23.53,2891,23.57,4391,56.65,3449,54.89,1.24,3.59E-66,4.71E-65,56.65,54.89,56.65,54.89
2185,AT2G38290,AMT2,608,5.45,584,5.07,6807,93.46,5751,97.39,4.18,0,0,93.46,97.39,93.46,97.39
7413,AT4G25000,AMY1,65,0.72,81,0.87,5,0.08,4,0.08,-3.24,4.56E-06,1.26E-05,0.08,0.08,0.08,0.08
7263,AT1G76130,AMY2,4248,38.33,4497,39.28,365,5.04,300,5.11,-2.93,1.98E-188,5.59E-187,28.2148746,28.60674786,5.04,5.11
4662,AT1G69830,AMY3,344,1.95,407,2.24,579,5.04,447,4.8,1.23,2.57E-15,1.24E-14,5.04,4.8,5.04,4.8
4746,AT2G17040,anac036,1506,20.3,1458,19.02,2166,44.72,1759,44.8,1.19,6.59E-40,6.08E-39,44.72,44.8,44.72,44.8
8619,AT2G24430,ANAC038,31,0.5,43,0.68,0,0,0,0,-6.86,2.95E-05,7.49E-05,0,0,0,0
2186,AT3G01600,anac044,1,0.01,1,0.01,11,0.17,10,0.19,4.18,0.00446809,0.008427915,0.17,0.19,0.17,0.19
1314,AT3G04060,anac046,23,0.27,30,0.34,877,15.62,774,17,5.75,2.67E-125,5.66E-124,15.62,17,15.62,17
8004,AT3G18400,anac058,19,0.24,27,0.33,1,0.02,0,0,-4.74,0.005366675,0.009973168,0.02,0,0.02,0
3268,AT3G44350,anac061,42,0.6,38,0.52,138,3,122,3.27,2.49,9.88E-14,4.45E-13,3,3.27,3,3.27
2083,AT3G55210,anac063,0,0,1,0.02,5,0.12,7,0.21,4.4,0.029357325,0.047638254,0.12,0.21,0.12,0.21
2608,AT4G01520,anac067,2,0.04,1,0.02,12,0.36,7,0.26,3.42,0.013652283,0.023666131,0.36,0.26,0.36,0.26
8597,AT4G29230,anac075,92,0.48,91,0.46,1,0.01,0,0,-6.73,6.11E-06,1.67E-05,0.01,0,0.01,0
8582,AT4G36160,ANAC076,38,0.34,26,0.23,0,0,0,0,-6.66,6.87E-05,0.000167281,0,0,0,0
2999,AT5G14000,anac084,4,0.04,1,0.01,7,0.11,13,0.25,2.82,0.024478792,0.040453874,0.11,0.25,0.11,0.25
3329,AT5G18270,ANAC087,78,0.86,85,0.91,283,4.79,220,4.59,2.41,1.40E-23,8.97E-23,4.79,4.59,4.79,4.59
7606,AT5G50820,anac097,32,0.61,35,0.65,0,0,3,0.11,-3.65,0.00150127,0.003064879,0,0.11,0,0.11
1646,AT5G63790,ANAC102,2334,26.12,2457,26.62,61995,1062.74,49255,1041.48,5.32,0,0,1062.74,1041.48,1062.74,1041.48
1904,AT5G64060,anac103,5,0.05,8,0.08,128,1.99,86,1.65,4.81,1.97E-19,1.11E-18,1.99,1.65,1.99,1.65
4714,AT1G32870,ANAC13,1171,10.62,1196,10.5,1671,23.21,1483,25.41,1.2,3.09E-34,2.54E-33,23.21,25.41,23.21,25.41
7091,AT1G35720,ANN1,2929,37.38,3008,37.16,318,6.22,253,6.1,-2.6,3.32E-121,6.85E-120,6.22,6.1,25.6778116,25.18241974
8216,AT5G65020,ANN2,502,5.42,582,6.08,8,0.13,8,0.16,-5.3,3.99E-37,3.47E-36,0.13,0.16,0.13,0.16
8211,AT2G38760,ANN3,32,0.44,36,0.48,0,0,1,0.03,-5.29,0.00102184,0.002136947,0,0.03,0,0.03
8386,AT2G38750,ANN4,153,1.52,153,1.47,2,0.03,1,0.02,-5.89,1.20E-10,4.66E-10,0.03,0.02,0.03,0.02
8392,AT5G10230,ANNAT7,21,0.29,17,0.23,0,0,0,0,-5.9,0.001097533,0.002286058,0,0,0,0
7677,AT1G54960,ANP2,42,0.3,78,0.53,3,0.03,2,0.03,-3.8,1.78E-05,4.62E-05,0.03,0.03,0.03,0.03
2879,AT3G06030,ANP3,17,0.13,31,0.23,119,1.42,101,1.49,2.99,6.88E-14,3.12E-13,1.42,1.49,1.840967444,1.93171936
33,AT2G38240,ANS,7,0.08,13,0.14,21774,375.63,16868,358.93,11.69,7.64E-278,2.98E-276,375.63,358.93,375.63,358.93
7044,AT4G37750,ANT,87,0.72,92,0.73,8,0.1,10,0.16,-2.52,8.75E-06,2.35E-05,0.1,0.16,0.1,0.16
4716,AT3G11900,ANT1,1252,11.13,1249,10.75,1818,24.76,1523,25.59,1.2,1.78E-37,1.56E-36,24.76,25.59,24.76,25.59
2302,AT3G04690,ANX1,0,0,2,0.01,9,0.06,9,0.08,3.97,0.010913178,0.019260963,0.06,0.08,0.06,0.08
440,AT3G25760,AOC1,847,12.62,956,13.78,126515,2886.21,87999,2476.27,7.67,0,0,2886.21,2476.27,2886.21,2476.27
262,AT3G25770,AOC2,546,7.45,644,8.51,141482,2957.03,96825,2496.18,8.42,0,0,2957.03,2496.18,2957.03,2496.18
109,AT3G25780,AOC3,67,0.72,92,0.95,45284,741.2,34565,697.85,9.75,0,0,741.2,697.85,741.2,697.85
7755,AT1G13280,AOC4,603,7.97,663,8.48,27,0.55,19,0.47,-4,2.93E-45,2.94E-44,0.55,0.47,0.55,0.47
8140,AT4G03070,AOP1,296,4.3,363,5.1,4,0.09,7,0.19,-5.11,1.02E-23,6.56E-23,0.09,0.19,0.09,0.19
2223,AT3G22370,AOX1A,1320,13.27,1238,12.05,13806,212.65,11908,226.24,4.12,0,0,212.65,226.24,212.65,226.24
2056,AT5G64210,AOX2,1,0.01,1,0.01,11,0.23,14,0.35,4.45,0.001638997,0.003327328,0.23,0.35,0.23,0.35
382,AT1G32350,AOX3,12,0.14,7,0.08,1479,26.33,1155,25.37,7.89,1.25E-112,2.45E-111,26.33,25.37,26.33,25.37
132,AT1G05020,AP180,1,0.01,2,0.01,706,7.35,524,6.73,9.46,6.99E-29,5.13E-28,7.35,6.73,7.35,6.73
6132,AT1G10730,AP1M1,304,2.96,311,2.93,74,1.1,53,0.98,-1.5,1.39E-08,4.73E-08,1.1,0.98,1.1,0.98
6616,AT4G36920,AP2,1073,9.54,997,8.58,174,2.37,131,2.2,-1.98,8.60E-34,7.01E-33,2.37,2.2,2.37,2.2
8332,AT4G04460,APA3,90,0.87,85,0.79,1,0.01,1,0.02,-5.67,5.73E-07,1.73E-06,0.01,0.02,0.01,0.02
5593,AT3G05870,APC11,119,1.29,91,0.95,27,0.45,27,0.55,-1.17,0.006966458,0.012726835,0.45,0.55,0.45,0.55
5145,AT5G38660,APE1,3632,22.29,3858,22.91,4874,45.81,3912,45.35,1.01,2.36E-48,2.47E-47,45.81,45.35,45.81,45.35
7015,AT1G01300,APF2,646,5.56,728,6.06,83,1.09,62,1.01,-2.46,5.17E-32,4.05E-31,1.09,1.01,1.753327304,1.624642732
2601,AT1G20130,APG,1,0.01,3,0.03,20,0.28,6,0.1,3.43,0.005861908,0.010823758,0.28,0.1,0.28,0.1
8739,AT3G16370,APG,14186,131.69,15450,138.82,49,0.7,29,0.51,-7.79,0,0,0.7,0.51,0.7,0.51
7881,AT4G39940,APK2,5726,72.61,6193,76.01,198,3.85,140,3.35,-4.36,0,0,3.85,3.35,3.85,3.35
3561,AT5G67520,APK4,169,2.05,185,2.18,459,8.55,425,9.76,2.11,3.66E-31,2.82E-30,8.55,9.76,8.55,9.76
7663,AT1G79430,APL,1243,13.75,1271,13.61,66,1.12,42,0.88,-3.76,5.52E-82,8.53E-81,4.349616588,3.417555891,1.12,0.88
5830,AT1G27680,APL2,152,1.26,178,1.43,45,0.57,33,0.52,-1.3,0.000184132,0.00042522,0.57,0.52,1.366377404,1.246519737
6047,AT2G21590,APL4,163,1.05,163,1.01,45,0.44,26,0.32,-1.43,7.47E-05,0.000181124,0.44,0.32,0.554715969,0.403429796
4987,AT3G05350,APP2,2396,18.17,2480,18.21,3323,38.6,2639,37.81,1.07,1.84E-44,1.83E-43,38.6,37.81,38.6,37.81
6015,AT5G18120,APRL7,532,3.69,493,3.31,121,1.29,103,1.35,-1.41,8.23E-12,3.39E-11,1.29,1.35,1.61169347,1.686655957
1914,AT5G61380,APRR1,166,1.05,190,1.16,3144,30.42,2574,30.72,4.79,0,0,30.42,30.72,30.42,30.72
7907,AT4G18020,APRR2,2399,13.4,2607,14.1,67,0.57,65,0.69,-4.46,3.36E-161,8.39E-160,0.821160906,0.994036886,0.861139047,1.042431478
292,AT5G24470,APRR5,16,0.17,13,0.13,2962,47.99,2285,45.67,8.28,1.16E-188,3.29E-187,47.99,45.67,47.99,45.67
6044,AT2G46790,APRR9,9626,79.8,9627,77.24,2233,28.35,1912,29.94,-1.43,4.64E-92,7.75E-91,28.35,29.94,28.35,29.94
6519,AT4G14680,APS3,903,7.97,965,8.24,164,2.22,137,2.28,-1.85,2.75E-29,2.04E-28,2.22,2.28,2.22,2.28
8353,AT1G80050,APT2,485,5.32,531,5.64,7,0.12,4,0.08,-5.75,1.81E-32,1.43E-31,0.12,0.08,0.12,0.08
8526,AT5G11160,APT5,137,1.72,149,1.81,2,0.04,0,0,-6.39,5.76E-09,2.02E-08,0.04,0,0.04,0
1088,AT5G43110,APUM14,0,0,0,0,10,0.17,5,0.11,6.1,0.00222457,0.004421256,0.17,0.11,0.17,0.11
3299,AT5G60180,APUM19,14,0.2,2,0.03,23,0.5,27,0.72,2.44,0.003377017,0.006518011,0.5,0.72,0.5,0.72
744,AT5G09610,APUM21,0,0,0,0,14,0.19,11,0.19,6.87,0.000115342,0.000273159,0.19,0.19,0.19,0.19
496,AT1G78160,APUM7,0,0,0,0,21,0.24,17,0.24,7.47,7.80E-06,2.10E-05,0.24,0.24,0.24,0.24
3765,AT1G07890,APX1,10083,99.93,10988,105.4,25814,391.83,20315,380.36,1.91,2.92E-234,9.90E-233,391.83,380.36,391.83,380.36
323,AT3G09640,APX2,0,0,1,0.02,98,2.49,68,2.13,8.15,4.86E-08,1.59E-07,2.49,2.13,2.49,2.13
4914,AT4G09010,APX4,7552,91.26,7867,92.02,10777,199.47,8523,194.58,1.1,1.02E-75,1.47E-74,199.47,194.58,199.47,194.58
6599,AT4G35970,APX5,65,0.85,70,0.89,18,0.36,3,0.07,-1.96,0.002663698,0.005222907,0.36,0.07,0.36,0.07
4534,AT1G77490,APXT,4819,33.98,5287,36.08,8296,89.59,6338,84.43,1.31,1.15E-82,1.79E-81,89.59,84.43,89.59,84.43
5298,AT1G14230,APY4,603,5.5,598,5.28,188,2.63,149,2.57,-1.05,4.86E-09,1.71E-08,2.63,2.57,2.63,2.57
4338,AT1G14250,APY5,58,0.53,77,0.68,128,1.78,85,1.46,1.43,2.02E-05,5.21E-05,1.78,1.46,1.78,1.46
1716,AT2G26530,AR781,747,8.23,788,8.4,18376,310.12,14711,306.23,5.21,0,0,310.12,306.23,310.12,306.23
6839,AT1G52080,AR791,267,1.92,321,2.23,42,0.46,31,0.42,-2.23,2.22E-13,9.85E-13,0.46,0.42,0.46,0.42
7631,AT1G05810,ARA,311,5.42,293,4.95,13,0.35,14,0.46,-3.7,4.57E-22,2.80E-21,0.35,0.46,0.35,0.46
5333,AT1G28670,ARAB-1,1125,11.94,1193,12.25,364,5.92,281,5.63,-1.07,2.66E-15,1.28E-14,5.92,5.63,5.92,5.63
5349,AT5G62880,ARAC10,539,7.17,533,6.87,136,2.77,157,3.95,-1.07,2.43E-07,7.54E-07,2.77,3.95,2.77,3.95
8279,AT5G45970,ARAC2,13,0.22,16,0.26,0,0,0,0,-5.51,0.003912822,0.007458973,0,0,0,0
8094,AT4G28950,ARAC7,8,0.11,12,0.16,0,0,0,0,-4.97,0.017497783,0.029712724,0,0,0,0
5602,AT5G44930,ARAD2,481,3.75,486,3.67,150,1.79,101,1.49,-1.17,1.35E-08,4.60E-08,1.79,1.49,1.79,1.49
552,AT2G26400,ARD,0,0,0,0,16,0.39,18,0.54,7.33,1.53E-05,3.99E-05,0.39,0.54,0.39,0.54
6923,AT2G28350,ARF10,934,5.71,992,5.87,119,1.11,101,1.17,-2.35,2.46E-41,2.31E-40,1.11,1.17,1.11,1.17
2605,AT3G25730,ARF14,19,0.23,30,0.34,173,3.14,133,2.98,3.42,5.38E-22,3.28E-21,3.14,2.98,4.351482759,4.129751153
6537,AT1G77850,ARF17,504,3.01,527,3.05,107,0.98,59,0.67,-1.87,4.90E-16,2.44E-15,0.98,0.67,0.98,0.67
4450,AT1G23490,ARF2-A,5866,84.81,5548,77.64,9563,211.76,7506,205.02,1.36,2.95E-89,4.83E-88,211.76,205.02,211.76,205.02
6811,AT2G33860,ARF3,633,3.91,654,3.91,76,0.72,86,1,-2.19,1.32E-24,8.67E-24,0.72,1,1.052675594,1.462049436
7610,AT5G60450,ARF4,1215,6.6,1226,6.44,50,0.42,62,0.64,-3.65,1.62E-74,2.32E-73,0.42,0.64,0.42,0.64
237,AT4G02870,ARF42,0,0,0,0,58,1.69,28,1.01,8.62,3.19E-08,1.06E-07,1.69,1.01,1.69,1.01
7172,AT1G19850,ARF5,208,1.02,268,1.27,16,0.12,24,0.22,-2.77,3.55E-13,1.56E-12,0.12,0.22,0.12,0.22
7177,AT1G30330,ARF6,1633,7.13,1789,7.56,162,1.08,128,1.06,-2.78,2.12E-82,3.29E-81,1.08,1.06,1.08,1.06
1308,AT2G31720,ARF70,0,0,0,0,3,0.09,8,0.28,5.76,0.007176382,0.013087373,0.09,0.28,0.09,0.28
6943,AT5G37020,ARF8,2167,10.7,2360,11.28,310,2.34,202,1.88,-2.37,9.61E-76,1.39E-74,2.34,1.88,2.34,1.88
229,AT2G31760,ARI10,0,0,0,0,50,0.88,38,0.82,8.68,1.96E-08,6.58E-08,0.88,0.82,0.88,0.82
2170,AT1G05880,ARI12,0,0,2,0.02,9,0.13,12,0.22,4.21,0.004995072,0.009334036,0.13,0.22,0.13,0.22
761,AT5G63750,ARI13,0,0,3,0.03,110,1.69,90,1.7,6.84,5.98E-14,2.72E-13,1.69,1.7,1.69,1.7
138,AT5G08730,ARI16,0,0,0,0,83,1.38,62,1.27,9.4,4.39E-10,1.65E-09,1.38,1.27,1.38,1.27
359,AT2G31770,ARI9,0,0,0,0,28,0.47,26,0.53,7.99,6.56E-07,1.97E-06,0.47,0.53,0.47,0.53
1586,AT3G49860,ARL8D,7,0.16,4,0.09,145,5.03,122,5.22,5.38,1.10E-23,7.06E-23,5.03,5.22,5.03,5.22
1364,AT4G34940,ARO1,0,0,0,0,6,0.07,5,0.07,5.69,0.007878777,0.014264012,0.07,0.07,0.07,0.07
2528,AT4G36030,ARO3,231,1.68,258,1.81,1897,21.12,1479,20.31,3.57,7.92E-198,2.36E-196,21.12,20.31,21.12,20.31
4309,AT2G41460,ARP,309,2.21,325,2.25,544,5.97,461,6.24,1.45,1.58E-20,9.27E-20,5.97,6.24,5.97,6.24
8550,AT2G33385,ARPC2B,27,0.29,30,0.31,0,0,0,0,-6.48,0.000128575,0.000302791,0,0,0,0
5718,AT4G14147,ARPC4,178,2.71,201,2.96,45,1.05,48,1.38,-1.23,0.000159704,0.000371639,1.05,1.38,1.262177233,1.658861507
1554,AT5G65274,ARPC5B,0,0,0,0,4,0.27,5,0.41,5.42,0.016291531,0.027842123,0.27,0.41,0.27,0.41
7795,AT2G02850,ARPN,55,0.98,36,0.62,0,0,3,0.1,-4.1,0.000158583,0.000369317,0,0.1,0,0.1
7791,AT1G67710,ARR11,246,1.86,220,1.61,10,0.12,6,0.09,-4.09,4.44E-18,2.38E-17,0.12,0.09,0.12,0.09
